district_name,district_code,Subject,number_p_or_a,percent_p_or_a,number_advanced,percent_advanced,number_proficient,percent_proficient,number_ni,percent_ni,number_failing,percent_failure,total_students,year
Abby Kelley Foster Charter Public (District),4450000,Biology,97,90,48,44,49,45,11,10,0,0,108,Before Shutdowns
Abington,10000,Biology,123,65,49,26,74,39,48,26,17,9,188,Before Shutdowns
Academy Of the Pacific Rim Charter Public (District),4120000,Physics,49,71,16,23,33,48,14,20,6,9,69,Before Shutdowns
Acton-Boxborough,6000000,Biology,404,98,297,72,107,26,7,2,2,0,413,Before Shutdowns
Adams-Cheshire,6030000,Biology,44,59,9,12,35,47,20,27,10,14,74,Before Shutdowns
Advanced Math and Science Academy Charter (District),4300000,Biology,151,95,84,53,67,42,5,3,3,2,159,Before Shutdowns
Agawam,50000,Biology,46,79,20,34,26,45,4,7,8,14,58,Before Shutdowns
Agawam,50000,Physics,94,54,12,7,82,47,54,31,26,15,174,Before Shutdowns
Agawam,50000,Technology/Engineering,7,35,0,0,7,35,8,40,5,25,20,Before Shutdowns
Amesbury,70000,Biology,111,79,30,21,81,57,22,16,8,6,141,Before Shutdowns
Amherst-Pelham,6050000,Biology,122,76,60,37,62,39,26,16,13,8,161,Before Shutdowns
Amherst-Pelham,6050000,Chemistry,64,94,51,75,13,19,2,3,2,3,68,Before Shutdowns
Andover,90000,Physics,373,90,189,46,184,44,32,8,10,2,415,Before Shutdowns
Argosy Collegiate Charter School (District),35090000,Physics,56,47,12,10,44,37,49,41,14,12,119,Before Shutdowns
Arlington,100000,Biology,6,40,2,13,4,27,4,27,5,33,15,Before Shutdowns
Arlington,100000,Physics,324,90,223,62,101,28,25,7,11,3,360,Before Shutdowns
Ashburnham-Westminster,6100000,Biology,71,77,26,28,45,49,16,17,5,5,92,Before Shutdowns
Ashland,140000,Biology,177,86,99,48,78,38,24,12,5,2,206,Before Shutdowns
Assabet Valley Regional Vocational Technical,8010000,Biology,163,68,46,19,117,49,64,27,14,6,241,Before Shutdowns
Assabet Valley Regional Vocational Technical,8010000,Physics,33,100,17,52,16,48,0,0,0,0,33,Before Shutdowns
Athol-Royalston,6150000,Biology,37,67,10,18,27,49,12,22,6,11,55,Before Shutdowns
Athol-Royalston,6150000,Technology/Engineering,5,31,0,0,5,31,5,31,6,38,16,Before Shutdowns
Atlantis Charter (District),4910000,Physics,40,53,7,9,33,43,25,33,11,14,76,Before Shutdowns
Attleboro,160000,Biology,3,19,0,0,3,19,4,25,9,56,16,Before Shutdowns
Attleboro,160000,Physics,338,73,149,32,189,41,77,17,45,10,460,Before Shutdowns
Auburn,170000,Biology,142,81,48,27,94,54,26,15,7,4,175,Before Shutdowns
Avon,180000,Biology,24,47,7,14,17,33,20,39,7,14,51,Before Shutdowns
Ayer Shirley School District,6160000,Biology,57,70,19,23,38,46,19,23,6,7,82,Before Shutdowns
Barnstable,200000,Biology,224,69,62,19,162,50,66,20,33,10,323,Before Shutdowns
Barnstable,200000,Physics,40,98,9,22,31,76,0,0,1,2,41,Before Shutdowns
Baystate Academy Charter Public School (District),35020000,Biology,36,55,8,12,28,43,24,37,5,8,65,Before Shutdowns
Bedford,230000,Physics,211,92,131,57,80,35,14,6,5,2,230,Before Shutdowns
Belchertown,240000,Biology,144,87,60,36,84,51,20,12,1,1,165,Before Shutdowns
Bellingham,250000,Biology,108,72,36,24,72,48,33,22,9,6,150,Before Shutdowns
Belmont,260000,Physics,324,96,259,77,65,19,9,3,5,1,338,Before Shutdowns
Berkshire Arts and Technology Charter Public (District),4140000,Biology,28,74,8,21,20,53,8,21,2,5,38,Before Shutdowns
Berkshire Hills,6180000,Biology,115,78,54,36,61,41,31,21,2,1,148,Before Shutdowns
Berlin-Boylston,6200000,Biology,69,95,34,47,35,48,4,5,0,0,73,Before Shutdowns
Beverly,300000,Biology,274,80,97,28,177,51,49,14,21,6,344,Before Shutdowns
Billerica,310000,Biology,267,92,114,39,153,53,19,7,4,1,290,Before Shutdowns
Blackstone Valley Regional Vocational Technical,8050000,Biology,143,88,61,37,82,50,17,10,3,2,163,Before Shutdowns
Blackstone Valley Regional Vocational Technical,8050000,Physics,147,94,95,61,52,33,9,6,1,1,157,Before Shutdowns
Blackstone-Millville,6220000,Biology,88,77,14,12,74,65,19,17,7,6,114,Before Shutdowns
Blue Hills Regional Vocational Technical,8060000,Biology,153,74,47,23,106,51,45,22,10,5,208,Before Shutdowns
Boston,350000,Biology,824,65,338,27,486,38,240,19,208,16,1272,Before Shutdowns
Boston,350000,Chemistry,2,12,0,0,2,12,1,6,14,82,17,Before Shutdowns
Boston,350000,Physics,920,47,269,14,651,33,564,29,471,24,1955,Before Shutdowns
Boston,350000,Technology/Engineering,36,28,1,1,35,27,63,49,29,23,128,Before Shutdowns
Boston Collegiate Charter (District),4490000,Physics,78,90,36,41,42,48,7,8,2,2,87,Before Shutdowns
Boston Day and Evening Academy Charter (District),4240000,Biology,5,45,0,0,5,45,4,36,2,18,11,Before Shutdowns
Boston Green Academy Horace Mann Charter School (District),4110000,Biology,35,49,3,4,32,45,25,35,11,15,71,Before Shutdowns
Boston Preparatory Charter Public (District),4160000,Biology,65,80,19,23,46,57,13,16,3,4,81,Before Shutdowns
Bourne,360000,Biology,76,66,19,17,57,50,31,27,8,7,115,Before Shutdowns
Braintree,400000,Biology,276,93,147,49,129,43,15,5,6,2,297,Before Shutdowns
Braintree,400000,Physics,69,55,9,7,60,48,51,40,6,5,126,Before Shutdowns
Bridgewater-Raynham,6250000,Biology,284,81,82,23,202,58,58,17,8,2,350,Before Shutdowns
Bristol County Agricultural,9100000,Biology,98,84,35,30,63,54,16,14,3,3,117,Before Shutdowns
Bristol-Plymouth Regional Vocational Technical,8100000,Biology,215,63,40,12,175,51,115,33,14,4,344,Before Shutdowns
Brockton,440000,Biology,446,48,121,13,325,35,301,33,175,19,922,Before Shutdowns
Brockton,440000,Technology/Engineering,5,45,0,0,5,45,5,45,1,9,11,Before Shutdowns
Brooke Charter School (District),4280000,Biology,92,97,56,59,36,38,2,2,1,1,95,Before Shutdowns
Brookline,460000,Biology,4,40,0,0,4,40,2,20,4,40,10,Before Shutdowns
Brookline,460000,Chemistry,9,60,6,40,3,20,3,20,3,20,15,Before Shutdowns
Brookline,460000,Physics,478,91,343,65,135,26,42,8,8,2,528,Before Shutdowns
Burlington,480000,Biology,80,82,43,44,37,38,10,10,8,8,98,Before Shutdowns
Burlington,480000,Physics,78,61,21,16,57,45,41,32,9,7,128,Before Shutdowns
Cambridge,490000,Biology,8,44,2,11,6,33,3,17,7,39,18,Before Shutdowns
Cambridge,490000,Chemistry,9,56,3,19,6,38,2,13,5,31,16,Before Shutdowns
Cambridge,490000,Physics,367,76,220,45,147,30,74,15,45,9,486,Before Shutdowns
Canton,500000,Biology,233,91,125,49,108,42,16,6,6,2,255,Before Shutdowns
Cape Cod Regional Vocational Technical,8150000,Technology/Engineering,98,61,10,6,88,55,51,32,12,7,161,Before Shutdowns
Carver,520000,Physics,52,72,12,17,40,56,16,22,4,6,72,Before Shutdowns
Central Berkshire,6350000,Biology,101,80,41,32,60,47,20,16,6,5,127,Before Shutdowns
Chelmsford,560000,Biology,289,83,152,44,137,39,45,13,14,4,348,Before Shutdowns
Chelsea,570000,Biology,124,39,23,7,101,31,108,34,90,28,322,Before Shutdowns
Chicopee,610000,Biology,328,59,83,15,245,44,160,29,66,12,554,Before Shutdowns
City on a Hill Charter Public School Circuit Street (District),4370000,Biology,29,46,5,8,24,38,24,38,10,16,63,Before Shutdowns
City on a Hill Charter Public School Dudley Square (District),35040000,Biology,23,34,1,1,22,33,28,42,16,24,67,Before Shutdowns
City on a Hill Charter Public School New Bedford (District),35070000,Biology,0,0,0,0,0,0,5,42,7,58,12,Before Shutdowns
City on a Hill Charter Public School New Bedford (District),35070000,Physics,8,17,1,2,7,15,18,38,21,45,47,Before Shutdowns
Clinton,640000,Biology,16,55,3,10,13,45,5,17,8,28,29,Before Shutdowns
Clinton,640000,Physics,9,90,5,50,4,40,1,10,0,0,10,Before Shutdowns
Clinton,640000,Technology/Engineering,46,58,4,5,42,53,25,32,8,10,79,Before Shutdowns
Codman Academy Charter Public (District),4380000,Biology,24,60,1,3,23,58,6,15,10,25,40,Before Shutdowns
Cohasset,650000,Physics,100,89,50,45,50,45,11,10,1,1,112,Before Shutdowns
Community Charter School of Cambridge (District),4360000,Physics,48,89,19,35,29,54,5,9,1,2,54,Before Shutdowns
Concord-Carlisle,6400000,Biology,297,98,223,74,74,24,5,2,1,0,303,Before Shutdowns
Danvers,710000,Biology,163,77,56,27,107,51,31,15,17,8,211,Before Shutdowns
Dartmouth,720000,Biology,279,77,67,18,212,58,64,18,21,6,364,Before Shutdowns
Dedham,730000,Biology,129,77,67,40,62,37,24,14,14,8,167,Before Shutdowns
Dennis-Yarmouth,6450000,Biology,150,77,50,26,100,52,34,18,10,5,194,Before Shutdowns
Dennis-Yarmouth,6450000,Physics,32,97,17,52,15,45,1,3,0,0,33,Before Shutdowns
Dighton-Rehoboth,6500000,Biology,324,81,107,27,217,55,63,16,11,3,398,Before Shutdowns
Douglas,770000,Biology,56,86,25,38,31,48,7,11,2,3,65,Before Shutdowns
Douglas,770000,Technology/Engineering,9,33,0,0,9,33,14,52,4,15,27,Before Shutdowns
Dover-Sherborn,6550000,Biology,177,99,119,66,58,32,2,1,0,0,179,Before Shutdowns
Dracut,790000,Biology,174,76,58,25,116,51,42,18,12,5,228,Before Shutdowns
Dudley-Charlton Reg,6580000,Biology,195,75,58,22,137,52,47,18,19,7,261,Before Shutdowns
Duxbury,820000,Biology,215,91,111,47,104,44,19,8,1,0,235,Before Shutdowns
East Bridgewater,830000,Biology,129,73,31,18,98,55,34,19,14,8,177,Before Shutdowns
East Longmeadow,870000,Biology,183,82,70,31,113,50,35,16,6,3,224,Before Shutdowns
Easthampton,860000,Biology,25,86,10,34,15,52,3,10,1,3,29,Before Shutdowns
Easthampton,860000,Physics,15,88,7,41,8,47,2,12,0,0,17,Before Shutdowns
Easton,880000,Biology,3,30,2,20,1,10,2,20,5,50,10,Before Shutdowns
Easton,880000,Physics,239,87,93,34,146,53,33,12,4,1,276,Before Shutdowns
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,Biology,55,54,7,7,48,48,39,39,7,7,101,Before Shutdowns
Essex North Shore Agricultural and Technical School District,8170000,Biology,284,87,109,33,175,53,41,13,3,1,328,Before Shutdowns
Everett,930000,Biology,246,57,59,14,187,43,121,28,68,16,435,Before Shutdowns
Everett,930000,Physics,32,80,8,20,24,60,6,15,2,5,40,Before Shutdowns
Excel Academy Charter (District),4100000,Biology,144,84,51,30,93,54,15,9,13,8,172,Before Shutdowns
Fairhaven,940000,Biology,124,82,41,27,83,55,20,13,8,5,152,Before Shutdowns
Fall River,950000,Biology,241,49,55,11,186,38,130,26,125,25,496,Before Shutdowns
Falmouth,960000,Biology,175,81,66,31,109,50,32,15,9,4,216,Before Shutdowns
Fitchburg,970000,Biology,99,54,31,17,68,37,48,26,37,20,184,Before Shutdowns
Fitchburg,970000,Technology/Engineering,25,22,1,1,24,21,61,53,30,26,116,Before Shutdowns
Four Rivers Charter Public (District),4130000,Biology,36,95,18,47,18,47,2,5,0,0,38,Before Shutdowns
Foxborough,990000,Biology,178,90,65,33,113,57,17,9,2,1,197,Before Shutdowns
Foxborough Regional Charter (District),4460000,Biology,61,79,22,29,39,51,14,18,2,3,77,Before Shutdowns
Foxborough Regional Charter (District),4460000,Chemistry,9,75,3,25,6,50,3,25,0,0,12,Before Shutdowns
Foxborough Regional Charter (District),4460000,Physics,12,100,9,75,3,25,0,0,0,0,12,Before Shutdowns
Framingham,1000000,Biology,479,81,210,36,269,46,80,14,32,5,591,Before Shutdowns
Francis W. Parker Charter Essential (District),4780000,Biology,19,79,4,17,15,63,4,17,1,4,24,Before Shutdowns
Franklin,1010000,Biology,399,89,226,50,173,39,35,8,14,3,448,Before Shutdowns
Franklin County Regional Vocational Technical,8180000,Biology,30,68,4,9,26,59,12,27,2,5,44,Before Shutdowns
Franklin County Regional Vocational Technical,8180000,Physics,32,56,7,12,25,44,23,40,2,4,57,Before Shutdowns
Freetown-Lakeville,6650000,Biology,136,86,65,41,71,45,18,11,5,3,159,Before Shutdowns
Frontier,6700000,Technology/Engineering,84,82,16,16,68,66,14,14,5,5,103,Before Shutdowns
Gardner,1030000,Biology,61,50,17,14,44,36,42,34,20,16,123,Before Shutdowns
Gateway,6720000,Biology,14,88,6,38,8,50,1,6,1,6,16,Before Shutdowns
Gateway,6720000,Technology/Engineering,11,52,0,0,11,52,10,48,0,0,21,Before Shutdowns
Georgetown,1050000,Biology,65,92,28,39,37,52,6,8,0,0,71,Before Shutdowns
Georgetown,1050000,Physics,10,100,9,90,1,10,0,0,0,0,10,Before Shutdowns
Gill-Montague,6740000,Biology,31,72,9,21,22,51,10,23,2,5,43,Before Shutdowns
Global Learning Charter Public (District),4960000,Biology,19,83,4,17,15,65,2,9,2,9,23,Before Shutdowns
Gloucester,1070000,Biology,100,70,33,23,67,47,29,20,14,10,143,Before Shutdowns
Gloucester,1070000,Technology/Engineering,40,74,9,17,31,57,10,19,4,7,54,Before Shutdowns
Grafton,1100000,Biology,183,79,69,30,114,49,40,17,9,4,232,Before Shutdowns
Granby,1110000,Biology,56,82,16,24,40,59,9,13,3,4,68,Before Shutdowns
Greater Fall River Regional Vocational Technical,8210000,Biology,256,79,77,24,179,55,59,18,9,3,324,Before Shutdowns
Greater Fall River Regional Vocational Technical,8210000,Physics,27,100,25,93,2,7,0,0,0,0,27,Before Shutdowns
Greater Lawrence Regional Vocational Technical,8230000,Biology,269,69,49,13,220,57,84,22,36,9,389,Before Shutdowns
Greater Lowell Regional Vocational Technical,8280000,Biology,369,66,72,13,297,53,143,26,44,8,556,Before Shutdowns
Greater New Bedford Regional Vocational Technical,8250000,Biology,427,83,102,20,325,63,83,16,7,1,517,Before Shutdowns
Greenfield,1140000,Biology,2,20,0,0,2,20,2,20,6,60,10,Before Shutdowns
Greenfield,1140000,Physics,68,59,28,24,40,34,28,24,20,17,116,Before Shutdowns
Greenfield Commonwealth Virtual District,39010000,Biology,27,55,3,6,24,49,13,27,9,18,49,Before Shutdowns
Groton-Dunstable,6730000,Biology,148,97,97,63,51,33,4,3,1,1,153,Before Shutdowns
Hamilton-Wenham,6750000,Biology,121,90,57,42,64,47,12,9,2,1,135,Before Shutdowns
Hampden Charter School of Science East (District),4990000,Biology,58,82,21,30,37,52,13,18,0,0,71,Before Shutdowns
Hampden Charter School of Science West (District),35160000,Biology,22,69,11,34,11,34,7,22,3,9,32,Before Shutdowns
Hampden-Wilbraham,6800000,Biology,36,95,29,76,7,18,2,5,0,0,38,Before Shutdowns
Hampden-Wilbraham,6800000,Technology/Engineering,145,73,9,5,136,68,45,23,9,5,199,Before Shutdowns
Hampshire,6830000,Biology,76,82,25,27,51,55,16,17,1,1,93,Before Shutdowns
Hanover,1220000,Biology,153,81,44,23,109,57,32,17,5,3,190,Before Shutdowns
Harvard,1250000,Physics,94,94,63,63,31,31,6,6,0,0,100,Before Shutdowns
Hatfield,1270000,Physics,30,70,9,21,21,49,11,26,2,5,43,Before Shutdowns
Haverhill,1280000,Biology,253,60,72,17,181,43,96,23,74,17,423,Before Shutdowns
Hingham,1310000,Biology,317,93,158,46,159,47,19,6,4,1,340,Before Shutdowns
Holbrook,1330000,Physics,48,66,22,30,26,36,20,27,5,7,73,Before Shutdowns
Holliston,1360000,Biology,121,92,62,47,59,45,8,6,2,2,131,Before Shutdowns
Holyoke,1370000,Biology,136,41,20,6,116,35,106,32,92,28,334,Before Shutdowns
Hopedale,1380000,Biology,27,93,16,55,11,38,2,7,0,0,29,Before Shutdowns
Hopedale,1380000,Physics,18,86,6,29,12,57,2,10,1,5,21,Before Shutdowns
Hopedale,1380000,Technology/Engineering,26,70,1,3,25,68,10,27,1,3,37,Before Shutdowns
Hopkinton,1390000,Biology,296,95,217,70,79,25,16,5,0,0,312,Before Shutdowns
Hudson,1410000,Biology,120,79,39,26,81,53,21,14,11,7,152,Before Shutdowns
Hull,1420000,Physics,44,75,15,25,29,49,10,17,5,8,59,Before Shutdowns
Innovation Academy Charter (District),4350000,Biology,91,91,49,49,42,42,5,5,4,4,100,Before Shutdowns
Ipswich,1440000,Biology,127,90,66,47,61,43,11,8,3,2,141,Before Shutdowns
KIPP Academy Lynn Charter (District),4290000,Physics,83,74,20,18,63,56,20,18,9,8,112,Before Shutdowns
King Philip,6900000,Biology,269,88,137,45,132,43,30,10,7,2,306,Before Shutdowns
Lawrence,1490000,Biology,189,28,11,2,178,26,271,40,222,33,682,Before Shutdowns
Lawrence,1490000,Physics,102,78,58,44,44,34,13,10,16,12,131,Before Shutdowns
Lee,1500000,Biology,42,69,11,18,31,51,16,26,3,5,61,Before Shutdowns
Leicester,1510000,Biology,99,73,33,24,66,49,29,21,8,6,136,Before Shutdowns
Lenox,1520000,Biology,39,80,11,22,28,57,6,12,4,8,49,Before Shutdowns
Lenox,1520000,Physics,18,100,17,94,1,6,0,0,0,0,18,Before Shutdowns
Leominster,1530000,Biology,302,67,97,22,205,45,109,24,40,9,451,Before Shutdowns
Leominster,1530000,Technology/Engineering,3,14,0,0,3,14,7,32,12,55,22,Before Shutdowns
Lexington,1550000,Biology,504,96,393,75,111,21,10,2,9,2,523,Before Shutdowns
Lincoln-Sudbury,6950000,Biology,362,92,200,51,162,41,29,7,2,1,393,Before Shutdowns
Littleton,1580000,Biology,91,91,61,61,30,30,6,6,3,3,100,Before Shutdowns
Longmeadow,1590000,Biology,236,93,124,49,112,44,15,6,4,2,255,Before Shutdowns
Lowell,1600000,Biology,397,58,141,21,256,37,169,25,120,17,686,Before Shutdowns
Ludlow,1610000,Biology,44,86,30,59,14,27,2,4,5,10,51,Before Shutdowns
Ludlow,1610000,Physics,133,72,23,13,110,60,38,21,13,7,184,Before Shutdowns
Lunenburg,1620000,Biology,100,84,52,44,48,40,16,13,3,3,119,Before Shutdowns
Lunenburg,1620000,Technology/Engineering,13,68,0,0,13,68,6,32,0,0,19,Before Shutdowns
Lynn,1630000,Biology,642,58,163,15,479,43,294,27,167,15,1103,Before Shutdowns
Lynnfield,1640000,Biology,126,89,65,46,61,43,13,9,3,2,142,Before Shutdowns
MATCH Charter Public School (District),4690000,Biology,51,77,11,17,40,61,12,18,3,5,66,Before Shutdowns
MATCH Charter Public School (District),4690000,Physics,62,63,23,23,39,40,29,30,7,7,98,Before Shutdowns
Malden,1650000,Biology,263,66,113,28,150,38,79,20,56,14,398,Before Shutdowns
Manchester Essex Regional,6980000,Biology,122,91,59,44,63,47,10,7,2,1,134,Before Shutdowns
Mansfield,1670000,Biology,238,87,89,32,149,54,27,10,9,3,274,Before Shutdowns
Marblehead,1680000,Biology,231,90,135,53,96,38,20,8,5,2,256,Before Shutdowns
Marlborough,1700000,Biology,50,64,17,22,33,42,13,17,15,19,78,Before Shutdowns
Marlborough,1700000,Physics,84,58,36,25,48,33,39,27,23,16,146,Before Shutdowns
Marshfield,1710000,Biology,267,82,118,36,149,46,53,16,5,2,325,Before Shutdowns
Martha's Vineyard,7000000,Biology,105,75,32,23,73,52,22,16,13,9,140,Before Shutdowns
Masconomet,7050000,Biology,136,96,105,74,31,22,2,1,3,2,141,Before Shutdowns
Masconomet,7050000,Physics,139,90,67,44,72,47,14,9,1,1,154,Before Shutdowns
Mashpee,1720000,Biology,97,86,38,34,59,52,15,13,1,1,113,Before Shutdowns
Maynard,1740000,Biology,6,55,1,9,5,45,2,18,3,27,11,Before Shutdowns
Maynard,1740000,Physics,58,63,22,24,36,39,20,22,14,15,92,Before Shutdowns
Medfield,1750000,Biology,190,93,108,53,82,40,13,6,2,1,205,Before Shutdowns
Medford,1760000,Biology,74,82,45,50,29,32,8,9,8,9,90,Before Shutdowns
Medford,1760000,Physics,119,55,20,9,99,46,70,32,27,13,216,Before Shutdowns
Medway,1770000,Biology,159,90,87,49,72,41,13,7,4,2,176,Before Shutdowns
Melrose,1780000,Biology,217,90,84,35,133,55,20,8,3,1,240,Before Shutdowns
Mendon-Upton,7100000,Biology,156,88,78,44,78,44,15,8,6,3,177,Before Shutdowns
Methuen,1810000,Biology,349,67,130,25,219,42,111,21,59,11,519,Before Shutdowns
Methuen,1810000,Chemistry,2,20,0,0,2,20,2,20,6,60,10,Before Shutdowns
Middleborough,1820000,Biology,94,72,32,25,62,48,25,19,11,8,130,Before Shutdowns
Milford,1850000,Biology,155,54,43,15,112,39,90,31,41,14,286,Before Shutdowns
Millbury,1860000,Biology,61,61,12,12,49,49,35,35,4,4,100,Before Shutdowns
Millis,1870000,Biology,62,84,14,19,48,65,10,14,2,3,74,Before Shutdowns
Milton,1890000,Biology,246,92,158,59,88,33,19,7,1,0,266,Before Shutdowns
Minuteman Regional Vocational Technical,8300000,Biology,100,79,25,20,75,60,25,20,1,1,126,Before Shutdowns
